Id,Username,Date,Tweet,Emotion,Anger,Joy,Surprise,Fear,Disgust,Sadness,Trust,Anticipation,SadnessV,SadnessA,SadnessD,SadnessCount,AnticipationV,AnticipationA,AnticipationD,AnticipationCount,DisgustV,DisgustA,DisgustD,DisgustCount,SurpriseV,SurpriseA,SurpriseD,SupriseCount,AngerV,AngerA,AngerD,AngerCount,JoyV,JoyA,JoyD,JoyCount,FearV,FearA,FearD,FearCount,TrustV,TrustA,TrustD,TrustCount
6,BarackObama,29-Aug-18,Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people.,Trust,0.006462213,0.231550545,0.045613576,0.052212954,0.00177751,0.028786622,0.505581737,0.128014863,0.812,0.55,0.373,1,0.88275,0.67675,0.586,4,0,0,0,0,0.658666667,0.534333333,0.446166667,6,0.938,0.736,0.608,1,0.719111111,0.581,0.478333333,9,0.938,0.736,0.608,1,0.6792,0.591,0.4631,10
5,BarackObama,7-Sep-18,Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT:,Anger,0.388241529,0.026758483,0.086413406,0.127276048,0.00944345,0.05276943,0.228051022,0.081046648,0.582,0.649,0.5,1,0.773666667,0.641666667,0.445666667,3,0,0,0,0,0.7266,0.5702,0.4432,5,0.582,0.649,0.5,1,0.689875,0.52025,0.388375,8,0.51,0.2,0.574,1,0.652125,0.478125,0.395125,8
4,BarackObama,11-Sep-18,We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are.,Joy,0.005504631,0.654928863,0.001517792,0.178070575,0.000140438,0.002759366,0.156817898,0.000260406,0.51725,0.409,0.48975,4,0,0,0,0,0,0,0,0,0.758666667,0.571666667,0.472333333,3,0,0,0,0,0.696909091,0.610363636,0.402818182,11,0.5345,0.613333333,0.624,6,0.686857143,0.625285714,0.441714286,14
3,BarackObama,14-Sep-18,The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change.,Trust,0.023869799,0.278314024,0.047071889,0.014296389,0.029216954,0.023924792,0.582487702,0.000818417,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0.619,0.468,2,0,0,0,0,0.6965,0.71325,0.53575,4,0,0,0,0,0.7136,0.7138,0.553,5
2,BarackObama,25-Sep-18,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out.,Trust,0.020615565,0.310822278,0.06763766,0.057163943,0.00264701,0.010229996,0.328879803,0.202003762,0.582,0.649,0.5,1,0.662666667,0.756333333,0.606666667,3,0.865,0.991,0.83,1,0.642666667,0.527666667,0.426666667,3,0.7235,0.82,0.665,2,0.651166667,0.566166667,0.454666667,6,0.646,0.9205,0.68,2,0.6723,0.6428,0.4936,10
1,BarackObama,29-Sep-18,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,0,0,0,0,0.875,0.5355,0.444,2,0,0,0,0,0.7486,0.5262,0.4104,5,0,0,0,0,0.739428571,0.561142857,0.420571429,7,0.888,0.786,0.644,1,0.678285714,0.633,0.495714286,7
88,justinbieber,17-Aug-18,Meet the newest Bieber my baby sister Bay Bieber,Surprise,1.96E-05,0.106478803,0.725536108,0.000300466,1.02E-05,0.001876692,0.013133494,0.15264459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8765,0.5085,0.3445,2,0,0,0,0,0,0,0,0
89,justinbieber,17-Aug-18,Make sure you guys go see #CrazyRichAsians this weekend! So good. Congrats,Surprise,0.000359671,0.382362813,0.560412943,0.001279526,4.11E-05,0.001623368,0.034455582,0.019465046,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.444,0.441,1,0,0,0,0,0.51,0.444,0.441,1,0.635,0.312,0.269,1,0.623,0.516333333,0.326666667,3
87,justinbieber,24-Aug-18,The end is FIRES. What s not to love,Trust,0.012679471,0.107405402,0.033872664,0.210567415,0.002065217,0.102900535,0.520946205,0.009563103,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0.444,0.27,1,0,0,0,0,0.599,0.4855,0.434,2,0,0,0,0,0.41,0.371,0.3095,2
83,katyperry,1-Jun-18,Happy #PRIDE month. I see you and I love you,Joy,0.000453994,0.590447545,0.239282265,0.005317231,7.94E-05,0.015082503,0.145996884,0.003340149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.673,0.519,1,0.635,0.312,0.269,1,0.635,0.312,0.269,1
85,katyperry,1-Jun-18,Here s something to believe in:  is really coming into her own and just put out a to one of my favorite songs she s written thus far! Has she made you a #Believer ?! LMK in the comments below #CYNNER,Trust,0.011809691,0.209729493,0.26874727,0.161871329,0.006925006,0.005105824,0.287768632,0.048042737,0,0,0,0,0.653,0.5,0.417,1,0,0,0,0,0,0,0,0,0,0,0,0,0.668333333,0.573666667,0.406333333,3,0,0,0,0,0.682,0.56325,0.4125,4
81,katyperry,2-Jun-18,We just played our 80TH show for #WITNESSTHETOUR ... #andwedontstop #welloiledmachine #cookingwithgas,Surprise,0.000733307,0.365729302,0.506639898,0.013836013,0.000117918,0.001283902,0.061289296,0.050370362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673,0.719,0.771,1
82,katyperry,2-Jun-18,bout to do Yoga to new Kanye record,Surprise,0.000265209,0.033362925,0.822665215,0.007872004,0.000384965,0.001225503,0.088126041,0.046098135,0,0,0,0,0,0,0,0,0,0,0,0,0.917,0.582,0.49,1,0.208,0.679,0.808,1,0.713,0.539333333,0.486333333,3,0,0,0,0,0.703,0.58425,0.5575,4
80,katyperry,4-Jun-18,CALIFORNIANS! What s important to you? Is it gun violence? Immigration? Women s rights? Prison reform? The #CAPrimary is tomorrow 6/5. It s your chance to make your voice heard! Get informed & go Vote whatever u believe just exercise your right!,Trust,0.001810852,0.136906862,0.030278774,0.014490299,0.002234844,0.00068358,0.799113452,0.014481319,0,0,0,0,0.792,0.407,0.377,1,0,0,0,0,0.6425,0.5165,0.4275,4,0.147,0.713,0.92,1,0.59925,0.5535,0.46775,4,0.3705,0.6205,0.6315,2,0.691,0.599166667,0.498833333,6
77,katyperry,9-Jun-18,Oi oi  remember when we locked ourselves in a room for a few days in Santa Barbara and wrote a rad song called POWER ?! Lest you forget...,Joy,0.000702952,0.94047308,0.001475241,0.018769402,2.44E-05,0.001353688,0.037182845,1.84E-05,0.815,0.477,0.4175,2,0,0,0,0,0,0,0,0,0.7915,0.4725,0.348,2,0,0,0,0,0.7525,0.4495,0.3525,2,0,0,0,0,0.786333333,0.466333333,0.372666667,3
76,katyperry,15-Jun-18,I you  and I you and I m singing this one for you tonight!,Joy,0.000490862,0.369173855,0.278094918,0.005588411,0.000165633,0.001563668,0.326250583,0.018672047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885,0.528,0.594,1,0,0,0,0,0.542,0.37,0.292,1
74,katyperry,20-Jun-18,Never forget everyone was once a child.,Trust,0.006208448,0.151441842,0.209985048,0.003670115,0.00242275,0.088833973,0.535830677,0.001607157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,katyperry,20-Jun-18,My Aussies & Kiwis ! For the FINALE of #WitnessTheTour (that's right shows #98-111 ) I'm bringing  to you in Perth Adelaide & Melbourne & then passing the to  in Sydney Brisbane & Auckland Pleased as punch to finally you,Joy,0.003100394,0.954006314,0.007725741,0.012983618,7.94E-06,0.002663719,0.005339052,0.014173243,0.4845,0.659,0.5695,2,0.583,0.465,0.433,1,0.583,0.465,0.433,1,0.406,0.5365,0.61,2,0.229,0.608,0.787,1,0.593666667,0.561333333,0.361,3,0.3435,0.5585,0.5425,2,0.6615,0.5875,0.3925,2
72,katyperry,22-Jun-18,Was so proud to give the gift of #transcendentalmeditation to my tour mates last week lead by my beautiful friend  . We meditated as a group before our show in #Manchester tonight to reclaim the arena for JOY! AND IT WAS JOYFUL. #WitnessTheTour,Joy,0.002939646,0.876295745,0.046011738,0.014724832,0.004885644,0.005620768,0.035291325,0.014230304,0.618,0.5115,0.484,2,0.893,0.678,0.6195,2,0,0,0,0,0.88,0.483,0.539,1,0,0,0,0,0.7042,0.5503,0.477,10,0,0,0,0,0.68125,0.5925,0.519625,8
73,katyperry,22-Jun-18,found my first skin tag today. I think I m an adult now. #TGIF,Joy,0.005847272,0.527011454,0.277787,0.024343928,0.000517152,0.034976669,0.059323907,0.070192643,0.569,0.395,0.35,1,0,0,0,0,0,0,0,0,0.699,0.4965,0.3805,2,0,0,0,0,0.7256,0.6156,0.439,5,0,0,0,0,0.706666667,0.5755,0.424666667,6
71,katyperry,3-Jul-18,My was touched by Carter's story. If you're able pls help w/ his chance to defeat Childhood Alzheimer's. He's SO close to funding his clinical trial & I would love to see my KatyCats kick it over the goal & make that difference! I m donating now too!,Trust,0.003288281,0.296227187,0.048098311,0.026361456,3.70E-05,0.012596273,0.609263957,0.004127545,0.54725,0.53625,0.4735,4,0,0,0,0,0,0,0,0,0.7585,0.5025,0.4855,2,0.271,0.526,0.791,1,0.6305,0.664833333,0.497666667,6,0.48425,0.41875,0.353,4,0.5897,0.55,0.4243,10
70,katyperry,4-Jul-18,so grateful,Joy,0.002267103,0.713112712,0.03065471,0.010451194,0.000269555,0.008065258,0.228258699,0.006920741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,katyperry,24-Jul-18,PERTH! Whatcha doin around 2pm? I may or may not do a quick pump through at the Westfield Carousel  before my show tonight to check out my,Fear,0.004982952,0.090902545,0.007368302,0.818820119,0.001092868,0.002315558,0.072337374,0.002180283,0.417,0.681,0.882,1,0,0,0,0,0,0,0,0,0.520666667,0.575666667,0.568,3,0,0,0,0,0.65025,0.53325,0.532,4,0.417,0.681,0.882,1,0.616142857,0.568142857,0.578714286,7
68,katyperry,24-Jul-18,love & strength to you  we re all here for you baby girl,Trust,0.000870762,0.085962385,0.05773782,0.00616452,0.000252506,0.003647658,0.843813062,0.001551294,0.74,0.443,0.572,1,0,0,0,0,0,0,0,0,0.74,0.443,0.572,1,0,0,0,0,0.9185,0.564,0.442,2,0,0,0,0,0.771,0.6505,0.627,2
63,katyperry,27-Jul-18,my thoughts exactly (sent to me by my girl cyn she knows)  South Australia,Trust,0.002198495,0.047957193,0.208163545,0.025855292,0.000510888,0.034353372,0.658992767,0.021968426,0.74,0.443,0.572,1,0,0,0,0,0,0,0,0,0.7425,0.567,0.477,2,0,0,0,0,0,0,0,0,0,0,0,0,0.7425,0.567,0.477,2
64,katyperry,27-Jul-18,Who Is America by  is the BEST and most worrisome thing on television,Fear,0.01813432,0.026379757,0.107536763,0.552542984,0.005113945,0.053376462,0.219104931,0.017810846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,0.4035,0.3065,2,0.633,0.547,0.391,1,0.541,0.4035,0.3065,2
65,katyperry,27-Jul-18,i d like u to kno murray smelled like a spa cause he eats eucalyptus leaves all day #clelandwildlifepark  Wildlife Park,Joy,0.005744492,0.651423752,0.098696113,0.00362977,0.000562234,0.057709571,0.147054106,0.035179973,0,0,0,0,0.622,0.386,0.151,1,0,0,0,0,0.6655,0.40975,0.27025,4,0,0,0,0,0.647666667,0.397666667,0.242666667,3,0.469,0.486,0.373,1,0.603,0.434,0.29625,4
61,katyperry,28-Jul-18,ADELAIDE! Keep ur peeled around 2pm if you re near the Westfield Marion  ....I may be investigating my,Surprise,0.009085523,0.09547732,0.574705124,0.017056225,0.003019877,0.00614033,0.242302164,0.052213408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704,0.245,0.273,1,0,0,0,0,0.687,0.3995,0.2565,2
62,katyperry,28-Jul-18,just in case you forgot im still on tour and tonight was show 100 #witnessthetour  Entertainment Centre,Surprise,0.00064189,0.007006241,0.946251333,0.016555803,0.000376014,0.001699034,0.018372588,0.009097098,0.545,0.492,0.41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0.543,0.545,1,0.427,0.441,0.275,1,0.668,0.631,0.658,2
59,katyperry,30-Jul-18,thought i looked cute but I might delete  South Australia,Trust,0.056420296,0.056594819,0.203723967,0.151029378,0.004379502,0.212288886,0.221759796,0.093803369,0,0,0,0,0.78,0.571,0.315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.409,0.298,1
60,katyperry,30-Jul-18,Mark your calendars! Only 100 days until the mid-term elections! Are you planning to use your voice and vote? If you re not registered yet my friends at  make it easy to do it online :,Trust,0.004342806,0.048089813,0.041546885,0.048957448,0.001368393,0.002057014,0.850828052,0.002809601,0,0,0,0,0.894,0.705,0.462,1,0,0,0,0,0.653,0.462,0.345,2,0,0,0,0,0.65775,0.5245,0.43975,4,0.594,0.528,0.343,1,0.712,0.5125,0.388125,8
57,katyperry,4-Aug-18,OY MELBOURNE! I ll be making a pit stop at the Westfield Southland  around 2p for a mall snack + to show off my  before my show tonight. Will I see u there?,Anticipation,0.00487699,0.092910275,0.237266645,0.109353289,0.000298907,0.001776485,0.250998706,0.302518696,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0.345,0.407,1,0,0,0,0,0.5145,0.40125,0.494,4,0.635,0.312,0.269,1,0.576571429,0.455714286,0.465142857,7
54,katyperry,6-Aug-18,Face it - it's always a good time to put your best foot forward   Queensland Australia,Trust,0.005379987,0.029690761,0.178697303,0.074675784,0.000863181,0.009554621,0.599542558,0.101595819,0,0,0,0,0.771,0.5715,0.328,2,0,0,0,0,0.938,0.534,0.368,1,0,0,0,0,0.649333333,0.432666667,0.352,3,0,0,0,0,0.649333333,0.432666667,0.352,3
55,katyperry,6-Aug-18,Are you America's next in the rough? Take that brave step towards a magical future! It's that time again - the  is rolling through! Get more info at,Fear,0.049832672,0.24984324,0.047126975,0.41855514,0.059797138,0.004148423,0.158989713,0.011706703,0,0,0,0,0.7395,0.602,0.4695,2,0,0,0,0,0.875,0.595,0.651,1,0,0,0,0,0.6665,0.47625,0.477,4,0.7935,0.7795,0.54,2,0.657,0.55675,0.50175,4
53,katyperry,7-Aug-18,... and hilarious too! Never grow up,Joy,0.017950544,0.359216541,0.197486222,0.045735791,0.007262677,0.049806189,0.315886497,0.006655531,0,0,0,0,0.914,0.755,0.615,1,0,0,0,0,0.75,0.537,0.64,1,0,0,0,0,0.832,0.646,0.6275,2,0,0,0,0,0.914,0.755,0.615,1
52,katyperry,9-Aug-18,BRISBANE! I ll be swinging by the Westfield Carindale before my show tonight! If you re nearby around 2pm come say hello to me and my ...and if you re not nearby we ll be doin this one,Trust,0.044325918,0.028686265,0.099911727,0.080794856,0.32180959,0.024009429,0.396159738,0.004302462,0,0,0,0,0,0,0,0,0,0,0,0,0.5755,0.501,0.2695,2,0,0,0,0,0.585333333,0.450666667,0.363,3,0,0,0,0,0.601166667,0.521166667,0.358666667,6
50,katyperry,12-Aug-18,One shoe can change your life -Cinderella   Australia,Trust,0.003765337,0.020559572,0.022632349,0.052481934,0.000386284,0.003516921,0.893829763,0.002827866,0,0,0,0,0,0,0,0,0,0,0,0,0.5895,0.371,0.2925,2,0,0,0,0,0.79,0.639,0.4875,2,0.625,0.606,0.575,1,0.699,0.522,0.4,3
49,katyperry,13-Aug-18,You know I love a ride to a show. Excited to join  and the  for the Open Streets Festival & Celebrate LA! a free concert  on Sun 9/30! Tix available via online sweepstakes beginning 8/20.,Joy,0.004455708,0.716931581,0.00477476,0.005063114,0.001980115,0.005399599,0.260813385,0.000581763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8912,0.593,0.5758,5,0.844,0.623,0.356,1,0.844166667,0.603166667,0.512833333,6
48,katyperry,14-Aug-18,Just a couple of lemon drops RG:    lemon!,Fear,0.172095329,0.037561715,0.054406412,0.521740735,0.003977085,0.037476286,0.140406474,0.032335952,0,0,0,0,0,0,0,0,0.596,0.316,0.317,1,0.806,0.607,0.605,1,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.607,0.605,1
47,katyperry,15-Aug-18,hello send a link to cow suit pls,Joy,0.017350359,0.805964053,0.027699538,0.016310211,0.00093749,0.040764,0.085138515,0.005835859,0,0,0,0,0,0,0,0,0,0,0,0,0.449,0.3,0.23,1,0,0,0,0,0.622,0.503333333,0.342,3,0,0,0,0,0.57875,0.4525,0.314,4
46,katyperry,16-Aug-18,Happiest birthday to my favorite Queen and constant chameleon,Surprise,0.000109573,0.083149493,0.893909335,0.000644515,3.88E-05,0.003036881,0.015152912,0.003958505,0,0,0,0,0.969,0.575,0.844,1,0,0,0,0,0.7295,0.46,0.712,2,0,0,0,0,0.781333333,0.537,0.671333333,3,0,0,0,0,0.705,0.574,0.488666667,3
44,katyperry,18-Aug-18,God is in the details timsek  Hyatt Sydney,Trust,0.001032428,0.013977047,0.008122317,0.068407953,0.000426215,0.001338774,0.903275907,0.003419384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0.481,0.367,1,0,0,0,0,0.583,0.481,0.367,1
45,katyperry,18-Aug-18,The end of tour tattoo tradition continues with #4 by the gentle precisionist  The planet in the middle is Saturn as this journey has taught me many lessons with a few,Joy,0.049971893,0.87841779,0.003395866,0.029194586,0.005113102,0.00551071,0.02787824,0.000517837,0.7465,0.6465,0.4875,2,0.7,0.575,0.652,2,0,0,0,0,0.474,0.4125,0.3795,2,0,0,0,0,0.62,0.547,0.422,7,0.862333333,0.654666667,0.495,3,0.640375,0.5825,0.441375,8
43,katyperry,19-Aug-18,Guys when the robots take over just tell them to calculate Pi ok,Surprise,0.008631261,0.037058517,0.557638168,0.009807765,0.010475208,0.206380755,0.150102809,0.019905522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5205,0.4485,0.401,2,0,0,0,0,0.623,0.415,0.446333333,3
39,katyperry,20-Aug-18,IT S THE LAST NIGHT OF #WITNESSTHETOUR Y ALL! 113 shows with perfect attendance! Grateful for everyone s love & support all year... #resilient,Joy,0.000520863,0.837320805,0.00080498,0.007571585,1.02E-05,6.53E-05,0.15326111,0.000445125,0,0,0,0,0.98,0.87,0.471,1,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.7715,0.495,2,0,0,0,0,0.8955,0.8035,0.4715,2
40,katyperry,20-Aug-18,If you boil sparkling water will it become flat,Trust,0.001074048,0.01202484,0.007054643,0.022266682,0.000547271,0.001335365,0.953378856,0.002318298,0,0,0,0,0,0,0,0,0.417,0.433,0.684,1,0.6705,0.6205,0.5005,2,0,0,0,0,0.6518,0.5416,0.3536,5,0,0,0,0,0.582333333,0.560333333,0.409,3
41,katyperry,20-Aug-18,San Diego I m coming with a larger than life show for you! New set new costumes MEGA drama! I ll be there to perform on Sunday 9/16 at 7:30p. Get your exclusive Katy Perry Cares pass (benefiting  ) to KAABOO for only $89 to see my show!,Joy,0.005525161,0.504366279,0.004983495,0.08762075,0.000965682,0.009118847,0.384333909,0.0030859,0,0,0,0,0.653,0.5,0.417,1,0.729,0.763,0.654,1,0.718666667,0.569,0.489333333,3,0,0,0,0,0.737166667,0.637333333,0.516,6,0.636666667,0.482333333,0.382666667,3,0.735555556,0.645555556,0.522888889,9
42,katyperry,20-Aug-18,One of my favorite moments on this leg is being able to FINALLY visit  and bring my tour I have looked out the window of my various hotel rooms for over 10 years dreaming,Joy,0.001276942,0.977953613,0.001181379,0.012709046,2.64E-05,0.000435528,0.00574759,0.000669463,0.767666667,0.563,0.455,3,0,0,0,0,0,0,0,0,0.5935,0.3495,0.307,2,0,0,0,0,0.6835,0.481333333,0.390833333,12,0.854,0.336,0.32,1,0.704222222,0.531666667,0.411222222,9
38,katyperry,24-Aug-18,No one has ever asked me to cut a large ribbon at an opening with oversized scissors and it makes me sad. I thought this is what popstars do.,Sadness,0.038731888,0.131471083,0.009766512,0.027314318,0.00602326,0.73822391,0.044154413,0.004314634,0,0,0,0,0.7495,0.464,0.3015,2,0,0,0,0,0.667,0.62,0.51,1,0.719,0.357,0.288,1,0.6264,0.557,0.4786,5,0.505,0.4905,0.501,2,0.568833333,0.516666667,0.4765,6
37,katyperry,27-Aug-18,One year 6 continents 113 shows Witness: The Tour has been the most rewarding experience. I continue to be grateful that you let my music into your and minds. Now,Joy,0.009447486,0.889611602,0.001548414,0.07399115,1.92E-06,0.001504008,0.01982186,0.00407356,0.833,0.605,0.563,1,0.63,0.612,0.427,1,0,0,0,0,0.75,0.599,0.4605,2,0,0,0,0,0.69,0.5275,0.46425,4,0,0,0,0,0.56725,0.472,0.331,4
36,katyperry,28-Aug-18,Well I ve penciled in MY birthday plans ! SO excited that two of my favorite bbs are hitting the road together! Catch my lil sprout  &  this fall at a city near you!,Joy,0.000523924,0.920425355,0.031706512,0.001474585,4.39E-05,0.000631472,0.026975079,0.018219104,0.177,0.221,0.657,1,0.9385,0.642,0.8875,2,0,0,0,0,0.908,0.597333333,0.768666667,3,0,0,0,0,0.753333333,0.537666667,0.589,6,0.656,0.404,0.404,1,0.733,0.5265,0.536833333,6
34,katyperry,29-Aug-18,name a more iconic duo... I ll wait,Trust,0.000996272,0.101919778,0.238529161,0.005417814,0.000323504,0.04971775,0.485930294,0.117165446,0,0,0,0,0.224,0.264,0.167,1,0,0,0,0,0,0,0,0,0,0,0,0,0.573,0.415,0.3,1,0,0,0,0,0.482666667,0.508,0.378333333,3
